rank,variant,estimator_family,basis,features,feature_count,q_model_kind,alpha_model_kind,beta_model_kind,drift_model_kind,closed_form,description,mean_train_auc,mean_test_auc,mean_generalization_gap,mean_q_test_auc,mean_alpha_test_auc,mean_beta_test_auc,mean_drift_test_auc,mean_brier,mean_ece,boundary_within_one,mean_oracle_gap,mean_stop_utility,is_current_baseline
11,hazard_quadratic_combo_entropymean_entropystd_confidence_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, confidence, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7293287997168296,0.6064618800972181,0.12286691961961144,0.6237572164080376,0.6168292546471617,0.5787991692364552,,0.21170435635491866,0.2976291496276331,0.4425,0.3131805555555556,0.16275,False
12,hazard_quadratic_combo_entropymean_confidence_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_mean, confidence, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7308306858913294,0.6105127432985564,0.12031794259277295,0.6059697469788194,0.6026527164969946,0.6229157664198555,,0.2066239144305435,0.301002677721077,0.43805555555555553,0.26245833333333335,0.21347222222222217,False
13,hazard_cubic_top4,hazard,cubic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with cubic logistic heads over the current top-4 observables.,0.7765713907500001,0.6111130540789841,0.16545833667101606,0.6331482587985754,0.5485210516752438,0.6516698517631332,,0.18974838198339933,0.2893167586430978,0.4344444444444444,0.3534305555555556,0.1225,False
14,hazard_quadratic_combo_entropymean_entropystd_answerchanged_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.6949471450231537,0.6337522112538903,0.06119493376926352,0.6363935886247913,0.6074824365306137,0.6573806086062656,,0.22256694438593275,0.30494533660362033,0.4330555555555555,0.3247083333333334,0.1512222222222222,False
15,hazard_quadratic_drop_hidden_l2_shift,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating hidden_l2_shift.,0.6840555312044541,0.6371254005758201,0.04693013062863391,0.6453790312784187,0.6105186026853502,0.6554785677636916,,0.22623856896646308,0.30553603675428154,0.43277777777777776,0.3205,0.15543055555555554,False
16,hazard_quadratic_combo_entropymean_confidence_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_mean, confidence, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7473925271631175,0.6186487871007302,0.12874374006238734,0.6308423673679091,0.607959284763798,0.6171447091704836,,0.20501715884849692,0.28875089218773664,0.43222222222222223,0.31806944444444446,0.1578611111111111,False
17,hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7115121656283147,0.6459273418747773,0.06558482375353741,0.6315869172958193,0.6211687924671775,0.6850263158613349,,0.216908075252139,0.3039642620914048,0.42083333333333334,0.330375,0.14555555555555555,False
18,hazard_quadratic_top4_pca,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, pca_velocity_norm",4,logistic,logistic,logistic,,True,Quadratic hazard equation replacing hidden L2 drift with PCA trajectory velocity.,0.7059884979404205,0.6425456386581726,0.06344285928224794,0.644873896129119,0.6007145908732245,0.6820484289721742,,0.2189219476166529,0.3019145724258304,0.41555555555555557,0.32683333333333336,0.14909722222222221,False
19,hazard_quadratic_drop_entropy_mean,hazard,quadratic,"answer_changed, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating entropy_mean.,0.6901190502006918,0.6202475921428575,0.06987145805783429,0.6091083254037595,0.5815932056210622,0.6700412454037509,,0.22484012247595586,0.30344225506781564,0.41388888888888886,0.32269444444444445,0.1532361111111111,False
20,hazard_quadratic_drop_thought_token_count,hazard,quadratic,"entropy_mean, answer_changed, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating thought_token_count.,0.7063665671500071,0.6490481445742636,0.057318422575743516,0.6388791534456765,0.6264979832852038,0.6817672969919104,,0.21942556121737222,0.3066468605351579,0.4127777777777778,0.3316944444444444,0.14423611111111112,False
21,hazard_quadratic_combo_entropystd_hiddenl2shift_answerchanged_thoughttokencount,hazard,quadratic,"entropy_std, hidden_l2_shift, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7127549127802655,0.6432315693851542,0.06952334339511121,0.6408683575983808,0.5967431707969617,0.6920831797601205,,0.2165634675587026,0.29969777423870103,0.40805555555555556,0.3294722222222223,0.14645833333333333,False
22,hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.6744489688468701,0.6210760809051878,0.05337288794168224,0.6008576960146789,0.577086408205201,0.6852841384956837,,0.22285878113325522,0.3058955659208594,0.4002777777777778,0.345875,0.13005555555555556,False
23,hazard_quadratic_combo_entropymean_hiddenl2shift_answerchanged_thoughttokencount,hazard,quadratic,"entropy_mean, hidden_l2_shift, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7151695239994321,0.6478595206389641,0.06731000336046802,0.6435305718090998,0.6070325705893791,0.6930154195184136,,0.21567823593886157,0.3007204578642418,0.39861111111111114,0.32872222222222225,0.14720833333333333,False
24,hazard_quadratic_top4,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with quadratic logistic heads over the current top-4 observables.,0.7151695239994321,0.6478595206389641,0.06731000336046802,0.6435305718090998,0.6070325705893791,0.6930154195184136,,0.2156782359388616,0.3007204578642418,0.39861111111111114,0.32872222222222225,0.14720833333333333,True
25,hazard_quadratic_drop_answer_changed,hazard,quadratic,"entropy_mean, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating answer_changed.,0.6585707202017347,0.624858892508793,0.033711827692941704,0.6142343355738191,0.583995712553804,0.6763466293987557,,0.22637442412383482,0.31217953025705075,0.39555555555555555,0.3451666666666667,0.1307638888888889,False
26,hazard_quadratic_combo_entropymean_entropystd_confidence_hiddenl2shift,hazard,quadratic,"entropy_mean, entropy_std, confidence, hidden_l2_shift",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,0.7151869437260527,0.5854715702532336,0.1297153734728192,0.587255326209981,0.5810885756240337,0.5880708089256861,,0.2114612220215446,0.29496658614156823,0.3819444444444444,0.3343333333333333,0.1415972222222222,False
27,hazard_rf_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,random_forest,random_forest,random_forest,,False,Random-forest hazard heads over the current top-4 observables.,0.8728699696627258,0.643581384380191,0.22928858528253473,0.6440810406116365,0.5641749126401028,0.7224881998888336,,0.14663886828838985,0.22764481210770396,0.3488888888888889,0.3586111111111111,0.11731944444444445,False
28,hazard_hgb_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,hist_gb,hist_gb,hist_gb,,False,Histogram gradient-boosted hazard heads over the current top-4 observables.,0.8708934917220353,0.6342123712422022,0.23668112047983317,0.6335510634632964,0.5700031171443889,0.6990829331189213,,0.1499563003134357,0.2354910671685302,0.3477777777777778,0.3638472222222222,0.11208333333333333,False
29,hazard_q_svm_top4,hazard,linear,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,svm,logistic,logistic,,False,Kernel SVM for q_hat with logistic repair/corruption hazard heads.,0.6985489432547886,0.631637143768935,0.06691179948585357,0.6241169364974356,0.5971659827044176,0.6736285121049518,,0.20654041292814088,0.33787161395547227,0.33416666666666667,0.31704166666666667,0.15888888888888886,False
