variant,estimator_family,basis,features,feature_count,q_model_kind,alpha_model_kind,beta_model_kind,drift_model_kind,closed_form,description,holdout_family,mean_train_auc,mean_test_auc,generalization_gap,q_train_auc,q_test_auc,alpha_train_auc,alpha_test_auc,beta_train_auc,beta_test_auc,drift_train_auc,drift_test_auc,mean_brier,mean_ece,boundary_within_one,mean_oracle_gap,mean_stop_utility
hazard_cubic_top4,hazard,cubic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with cubic logistic heads over the current top-4 observables.,Qwen 0.5B,0.7402545474864392,0.5006634087392537,0.2395911387471854,0.7248849186376994,0.5063841891361506,0.6309590295241463,0.49025362584684623,0.8649196942974722,0.5053524112347642,,,0.2001155769848609,0.35944945185384847,0.4822222222222222,0.10550000000000002,-0.01711111111111112
hazard_cubic_top4,hazard,cubic,"entropy_mean, answer_changed, thought_token_count, hidden_l2_shift",4,logistic,logistic,logistic,,True,Hazard composition with cubic logistic heads over the current top-4 observables.,Qwen 7B,0.7498838537417666,0.7247633795654993,0.025120474176267282,0.681840417901286,0.7689488029726086,0.7783758070758546,0.5768975749760676,0.7894353362481591,0.8284437607478218,,,0.20135860376408035,0.18362912755459593,0.44666666666666666,0.5687222222222222,0.1918888888888889
hazard_quadratic_drop_entropy_mean,hazard,quadratic,"answer_changed, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating entropy_mean.,DeepSeek 1.5B,0.7478449176801499,0.5680799564789186,0.1797649612012313,0.7086300415881983,0.6035565501387383,0.7332018996202673,0.5242335901375001,0.8017028118319843,0.5764497291605173,,,0.2043746628113542,0.2011149221021612,0.37555555555555553,0.44733333333333336,0.16894444444444445
hazard_quadratic_drop_entropy_mean,hazard,quadratic,"answer_changed, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating entropy_mean.,Mistral 7B,0.6576492098141861,0.7108464808235463,-0.053197271009360225,0.6684923297714407,0.6478926790122955,0.6198635168545812,0.6974647394472319,0.6845917828165362,0.7871820240111113,,,0.23310327789547758,0.3219419650372827,0.3388888888888889,0.2584444444444445,0.18
hazard_quadratic_drop_entropy_mean,hazard,quadratic,"answer_changed, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating entropy_mean.,Qwen 0.5B,0.6620873327414126,0.5472096136498433,0.1148777190915693,0.6698820944325695,0.49906529198019844,0.6019598371641945,0.5821501944383302,0.714420066627474,0.5604133545310015,,,0.2302563072841771,0.4382848598472185,0.5255555555555556,0.09733333333333336,-0.008944444444444453
hazard_quadratic_drop_entropy_mean,hazard,quadratic,"answer_changed, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating entropy_mean.,Qwen 7B,0.6928947405670186,0.6548543176191218,0.03804042294789678,0.6578366432755518,0.6859187804838056,0.686337349884272,0.5225242984611868,0.7345102285412317,0.7561198739123733,,,0.23162624191281456,0.2524272732846002,0.41555555555555557,0.48766666666666664,0.27294444444444443
hazard_quadratic_drop_answer_changed,hazard,quadratic,"entropy_mean, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating answer_changed.,DeepSeek 1.5B,0.74584855178345,0.5189053187692043,0.22694323301424568,0.6619109031904742,0.537298852415754,0.7411720981039234,0.5042381264604863,0.8344626540559525,0.5151789774313726,,,0.1998188554259239,0.20277212946202303,0.4311111111111111,0.46622222222222226,0.15005555555555558
hazard_quadratic_drop_answer_changed,hazard,quadratic,"entropy_mean, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating answer_changed.,Mistral 7B,0.6477657490118708,0.6658008752715913,-0.01803512625972048,0.6392313311757125,0.6143767067324868,0.6123557044236683,0.6633894153436316,0.6917102114362313,0.7196365037386556,,,0.2318295969868522,0.3204572581437459,0.26555555555555554,0.2991111111111111,0.13933333333333334
hazard_quadratic_drop_answer_changed,hazard,quadratic,"entropy_mean, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating answer_changed.,Qwen 0.5B,0.652593588403597,0.5778198955637612,0.07477369283983581,0.6576545900212597,0.532503682195897,0.5932939588462042,0.5818781030645438,0.7068322163433274,0.6190779014308426,,,0.22988235357279949,0.4525699692780225,0.47333333333333333,0.10505555555555557,-0.016666666666666677
hazard_quadratic_drop_answer_changed,hazard,quadratic,"entropy_mean, thought_token_count, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating answer_changed.,Qwen 7B,0.5880749916080209,0.7369094804306151,-0.1488344888225942,0.5707562546171339,0.7727581009511388,0.5842294722441851,0.5864772053465545,0.6092392479627439,0.851493134994152,,,0.2439668905097637,0.2729187641444115,0.4122222222222222,0.5102777777777778,0.25033333333333335
hazard_quadratic_drop_thought_token_count,hazard,quadratic,"entropy_mean, answer_changed, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating thought_token_count.,DeepSeek 1.5B,0.7653426254436334,0.5844223421313733,0.18092028331226007,0.7074977470896505,0.6455237502497899,0.7256833193743606,0.5256813061560571,0.8628468098668892,0.582061969988273,,,0.19629214001048453,0.22411096484543894,0.3655555555555556,0.45605555555555555,0.1602222222222222
hazard_quadratic_drop_thought_token_count,hazard,quadratic,"entropy_mean, answer_changed, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating thought_token_count.,Mistral 7B,0.6858184714173928,0.7064641499710884,-0.02064567855369559,0.6848001492088716,0.6365130285807418,0.6424407093260431,0.7074508553400195,0.7302145557172635,0.7754285659925038,,,0.22717565223978134,0.31529586058237385,0.28,0.29877777777777775,0.13966666666666666
hazard_quadratic_drop_thought_token_count,hazard,quadratic,"entropy_mean, answer_changed, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating thought_token_count.,Qwen 0.5B,0.6779545943502517,0.6114332314509965,0.06652136289925525,0.6834113373196955,0.533358120455284,0.5978458221762877,0.7310422628219237,0.7526066235547717,0.5698993110757817,,,0.22486509316381867,0.42791972546595575,0.6111111111111112,0.09488888888888891,-0.006500000000000013
hazard_quadratic_drop_thought_token_count,hazard,quadratic,"entropy_mean, answer_changed, hidden_l2_shift",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating thought_token_count.,Qwen 7B,0.6963505773887505,0.6938728547435962,0.0024777226451543344,0.6620267546590918,0.7401217144968903,0.6877131482483388,0.541817508822815,0.739311829258821,0.7996793409110831,,,0.22936935945540435,0.25926089124686297,0.39444444444444443,0.4770555555555555,0.2835555555555556
hazard_quadratic_drop_hidden_l2_shift,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating hidden_l2_shift.,DeepSeek 1.5B,0.7411047449510905,0.5542629996188704,0.1868417453322201,0.6939510374862706,0.6395366645768217,0.7543947140023028,0.520423078829095,0.7749684833646978,0.5028292554506945,,,0.21034796776312206,0.202821361681596,0.39444444444444443,0.4361666666666667,0.1801111111111111
hazard_quadratic_drop_hidden_l2_shift,hazard,quadratic,"entropy_mean, answer_changed, thought_token_count",3,logistic,logistic,logistic,,True,Quadratic hazard equation after ablating hidden_l2_shift.,Mistral 7B,0.6698289109187495,0.6746893753671394,-0.004860464448389834,0.6782952950418282,0.648308615708666,0.6469817685690545,0.6813470405969038,0.684209669145366,0.6944124697958485,,,0.22961014337775243,0.3143249136816128,0.29333333333333333,0.29327777777777775,0.14516666666666664
