model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
DeepSeek 1.5B,39,1,0.16666666666666666,0.3,0.5555555555555556,3
DeepSeek 1.5B,40,1,0.0,0.0,0.0,3
DeepSeek 1.5B,41,2,0.3333333333333333,0.41666666666666663,0.8,3
DeepSeek 1.5B,42,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,43,2,0.4,0.16666666666666666,2.4000000000000004,3
DeepSeek 1.5B,44,1,0.4,0.18333333333333332,2.181818181818182,3
DeepSeek 1.5B,45,1,0.35,0.21666666666666665,1.6153846153846154,3
DeepSeek 1.5B,46,1,0.2,0.1,2.0,3
DeepSeek 1.5B,47,3,0.4833333333333333,0.3333333333333333,1.45,3
DeepSeek 1.5B,48,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,49,1,0.11666666666666665,0.3,0.38888888888888884,3
DeepSeek 1.5B,50,1,0.25,0.3,0.8333333333333334,3
DeepSeek 1.5B,51,2,0.26666666666666666,0.15,1.777777777777778,3
DeepSeek 1.5B,52,1,0.2333333333333333,0.55,0.42424242424242414,3
DeepSeek 1.5B,53,1,0.26666666666666666,0.4,0.6666666666666666,3
DeepSeek 1.5B,54,1,0.35,0.4166666666666667,0.8399999999999999,3
DeepSeek 1.5B,55,1,0.5,0.3,1.6666666666666667,3
DeepSeek 1.5B,56,1,0.0,0.0,0.0,3
DeepSeek 1.5B,57,1,0.0,0.0,0.0,3
DeepSeek 1.5B,58,1,0.06666666666666667,0.35,0.1904761904761905,3
DeepSeek 1.5B,59,1,0.45,0.21666666666666665,2.076923076923077,3
DeepSeek 1.5B,60,2,0.1,0.25,0.4,3
DeepSeek 1.5B,61,1,0.15,0.35,0.4285714285714286,3
DeepSeek 1.5B,62,1,0.5333333333333333,0.45,1.1851851851851851,3
DeepSeek 1.5B,63,1,0.55,0.26666666666666666,2.0625,3
DeepSeek 1.5B,64,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,65,1,0.0,0.0,0.0,3
DeepSeek 1.5B,66,1,0.21666666666666665,0.2,1.0833333333333333,3
DeepSeek 1.5B,67,1,0.0,0.0,0.0,3
DeepSeek 1.5B,68,1,0.45,0.6,0.75,3
DeepSeek 1.5B,69,1,0.31666666666666665,0.2333333333333333,1.3571428571428572,3
DeepSeek 1.5B,70,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,71,1,0.31666666666666665,0.4833333333333333,0.6551724137931035,3
DeepSeek 1.5B,72,2,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,73,1,0.0,0.0,0.0,3
DeepSeek 1.5B,74,1,0.15,0.3,0.5,3
DeepSeek 1.5B,75,2,0.13333333333333333,0.2,0.6666666666666666,3
DeepSeek 1.5B,76,1,0.0,0.0,0.0,3
DeepSeek 1.5B,77,1,0.13333333333333333,0.2,0.6666666666666666,3
DeepSeek 1.5B,78,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,79,1,0.18333333333333332,0.15,1.222222222222222,3
DeepSeek 1.5B,80,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,81,1,0.0,0.0,0.0,3
